ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
-9.0,803.0,383.00000000000006,383.00000000000006,-9.0,-9.0,9.493888419088767,100.0,-9.0,0.08900874655107693,-9.0,104.0,-9.0,-9.0,24.0,-9.0,-9.0,-9.0,471.0,-9.0,-9.0,18.000000000000004,86.19915987900507
-9.0,385.7029363649552,300.63047121172707,-9.0,54.66337515243583,-2.198192662957703,-9.0,100.0,-8.92231733930632,2.500251383345363,-9.0,66.37021960225043,8.967234381132549,-9.0,8.313426893618061,-9.0,57.31344832068202,-9.0,-9.0,32.0,23.0,8.885161565885952,-9.0
-9.0,803.0,52.914556018098786,185.89144077395383,29.88174410071986,19.000000000000004,-9.0,-9.0,56.019192181005906,9.0,0.0038717966924722846,-9.0,-9.0,-9.0,7.518066448615683,-9.0,66.0,-9.0,383.16262451929356,-9.0,21.753658605931104,6.773743897215417,65.09225291029982
-9.0,803.0,383.00000000000006,41.9304182902444,42.668879500299354,-9.0,-7.34589702475019,66.4494682454317,83.0,9.0,-5.886205698872123,-9.0,-4.315647842932486,70.3910746694909,14.148198373039163,39.99504936133924,28.62546737438696,-9.0,471.0,11.796682534495782,-9.0,-9.0,-9.0
-9.0,752.3585187909138,-9.0,-9.0,35.27690538434329,9.147584253356916,-9.0,100.0,45.0069632287439,9.0,-9.0,-9.0,-9.0,-9.0,16.089587723598555,21.24410190858413,34.84970830190755,-9.0,-9.0,12.105194722701851,-3.943542689708587,7.597966551025179,40.13098127174598
-9.0,803.0,-9.0,88.14271463214571,40.68248375929165,-7.04946775489691,3.817474285798273,48.876264834423125,83.0,7.4879363763879665,0.8139573179970416,98.89301649615834,-9.0,-9.0,-5.100755737219092,26.53927603126843,40.67762193500149,-9.0,471.0,13.746908010884015,-4.179450702333291,-9.0,-9.0
-9.0,803.0,-9.0,-9.0,60.85326978089713,17.9406074819902,-9.0,61.8980088257915,69.67397184649852,7.709776585696107,-9.0,-9.0,-9.0,-9.0,24.0,52.985564816760025,37.700717316369364,-9.0,318.4079707106631,13.178345354690999,8.158427418752868,-6.232765436482816,-9.0
-9.0,803.0,195.08376310305556,383.00000000000006,58.087655808271435,10.64593936947029,-9.0,-9.0,-9.0,-9.0,1.3758004934884347,104.0,-1.0306125859852935,-9.0,7.90250252809706,4.865038773769329,42.803919141002424,35.22775395999381,471.0,15.252287491460415,-9.0,-9.0,100.0
-9.0,467.84916677114705,-9.0,383.00000000000006,-9.0,-9.0,-9.0,-9.0,72.81138625827728,-9.0,-2.2773221841732023,91.37566503697002,4.518465299207632,100.0,24.0,32.304996155208684,65.07151253335734,-9.0,-9.0,32.0,23.0,-9.0,95.533137590232
-9.0,14.711994685849065,219.78945192088605,383.00000000000006,79.0,-7.422259766131493,-1.6977581216646502,100.0,67.8001031178572,-9.0,-1.5705140585412949,51.79022125597898,-6.447375567547189,100.0,16.749464851627284,49.67637863003816,-9.0,-9.0,281.66683844881607,32.0,19.901781996632256,-9.0,-9.0
