age,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,two_year_recid,length_of_stay,class
27,Male,Caucasian,1,1,F,1,0,1,14,Medium
40,Male,African-American,2,15,F,0,0,0,3,Low
22,Male,African-American,1,0,M,1,0,1,16,Low
22,Male,Caucasian,0,1,F,0,0,0,57,High
26,Female,African-American,1,1,F,1,1,1,2,Low
27,Male,Caucasian,1,43,F,1,1,1,19,Medium
32,Male,African-American,0,1,F,0,0,0,1,Low
41,Male,African-American,1,1,M,0,0,0,1,Low
30,Male,African-American,8,1,M,1,1,1,1,High
50,Male,Other,0,1,F,1,0,1,0,Low
25,Male,African-American,14,1,F,1,1,1,7,High
20,Male,Other,0,1,F,1,1,1,1,Medium
22,Male,African-American,2,0,F,1,0,1,30,High
23,Male,African-American,2,137,M,1,0,1,0,Medium
35,Female,African-American,1,1,M,0,0,0,0,Low
36,Male,African-American,9,0,F,1,0,1,3,Medium
26,Male,Caucasian,7,0,F,1,0,1,0,High
21,Male,Other,1,0,F,1,0,1,3,Medium
25,Male,Caucasian,9,1,F,1,1,1,0,High
71,Male,African-American,12,1,M,0,0,0,0,Medium
20,Female,Caucasian,0,1,F,0,0,0,0,Medium
39,Male,Caucasian,2,2,F,1,0,1,1,Low
66,Male,Caucasian,3,64,F,0,0,0,30,Low
54,Female,Caucasian,0,0,M,0,0,0,0,Low
44,Female,Hispanic,0,2,M,0,0,0,1,Low
19,Male,African-American,1,10,M,1,1,1,9,Low
24,Male,African-American,1,137,F,0,0,0,137,Low
30,Male,African-American,1,1,F,0,0,0,0,Low
39,Female,Caucasian,0,1,F,1,1,1,1,Low
24,Male,Caucasian,8,1,F,1,0,1,12,Medium
30,Male,Caucasian,0,1,F,0,0,0,5,Low
31,Male,Caucasian,0,1,M,0,0,0,38,Medium
39,Female,Caucasian,1,1,F,0,0,0,106,Low
59,Male,African-American,14,178,F,1,1,1,109,High
43,Male,Caucasian,1,30,F,0,0,0,1,Low
21,Male,African-American,3,1,F,1,0,1,6,High
38,Male,Caucasian,5,1,M,1,0,1,2,Low
34,Male,Caucasian,0,0,F,0,0,0,14,Medium
33,Male,African-American,5,0,F,1,0,1,0,Medium
37,Male,African-American,3,0,F,0,0,0,1,Low
42,Male,Caucasian,1,0,F,1,0,1,0,Low
41,Male,African-American,10,0,F,1,0,1,176,High
22,Male,African-American,0,1,F,1,0,1,0,Low
33,Male,African-American,28,1,F,1,0,1,1,High
31,Male,African-American,1,1,M,0,0,0,1,Medium
30,Female,Other,1,1,F,0,0,0,1,Low
31,Male,Caucasian,13,1,F,1,1,1,471,High
27,Male,African-American,3,1,F,1,0,1,0,High
56,Male,African-American,8,67,F,0,0,0,79,High
52,Male,Caucasian,3,2,M,0,0,0,0,High
33,Male,African-American,19,1,F,1,0,1,0,High
64,Female,Caucasian,2,47,M,0,0,0,1,Low
22,Male,Caucasian,4,36,F,1,0,1,14,Medium
42,Male,Caucasian,6,4,F,0,0,0,1,Low
25,Female,Caucasian,2,1,F,0,0,0,3,Low
30,Male,Caucasian,1,20,M,0,0,0,3,Low
28,Male,Caucasian,2,1,F,0,0,0,0,Low
37,Female,Other,2,1,M,0,0,0,1,Low
28,Male,Caucasian,0,1,M,1,0,1,0,Low
24,Female,African-American,0,1,M,0,0,0,2,Low
29,Female,Caucasian,10,1,F,1,0,1,7,Low
44,Male,Caucasian,2,0,M,1,0,1,1,Low
30,Female,Hispanic,4,35,F,1,1,1,0,Medium
32,Male,African-American,3,1,F,1,0,1,8,Medium
31,Male,Caucasian,2,16,M,1,0,1,15,Low
31,Male,African-American,1,1,M,1,0,0,1,Low
59,Male,Caucasian,1,1,F,1,0,1,0,Low
45,Female,Caucasian,4,1,F,0,0,0,0,Low
20,Female,African-American,1,0,F,0,0,0,2,High
43,Female,Caucasian,0,0,M,0,0,0,0,Low
38,Male,African-American,9,1,F,1,0,1,13,High
32,Male,African-American,11,2,F,1,1,1,1,Medium
33,Male,African-American,8,1,M,1,1,1,0,Medium
31,Female,African-American,0,1,F,1,0,1,1,Low
33,Female,African-American,7,1,F,1,0,1,26,High
27,Male,African-American,2,1,F,1,0,1,1,High
20,Female,African-American,0,0,F,0,0,0,0,Medium
26,Female,Caucasian,0,2,M,0,0,0,0,Medium
61,Female,African-American,1,1,F,1,0,1,0,Low
52,Male,Other,13,1,F,1,0,1,1,Medium
63,Male,Hispanic,1,26,F,0,0,0,14,Low
32,Female,African-American,4,7,F,1,1,1,6,High
29,Male,Hispanic,1,1,F,0,0,0,0,Low
46,Female,Other,1,1,F,0,0,0,0,Low
26,Female,African-American,2,1,M,1,0,1,0,Low
55,Male,African-American,3,51,M,0,0,0,1,Low
39,Male,Caucasian,1,1,M,0,0,0,3,Low
30,Female,Caucasian,3,0,F,1,0,1,530,Medium
30,Male,African-American,1,0,F,0,0,0,70,Medium
48,Male,Caucasian,2,1,M,0,0,0,0,Low
22,Male,African-American,1,1,F,0,0,0,0,Low
46,Male,Caucasian,6,22,F,1,0,1,22,Low
49,Female,Caucasian,6,56,F,0,0,0,5,Medium
31,Male,Caucasian,0,0,F,0,0,0,2,Medium
25,Male,African-American,1,1,M,1,0,1,1,Low
23,Male,Hispanic,0,1,F,0,0,0,0,Low
32,Female,African-American,5,1,F,0,0,0,1,Medium
52,Male,Hispanic,2,1,M,0,0,0,3,Low
62,Male,African-American,8,0,F,0,0,0,15,Low
37,Female,Caucasian,6,110,F,0,0,0,105,High
55,Male,Caucasian,1,45,F,0,0,0,18,Low
31,Male,Hispanic,8,29,F,1,0,1,117,High
28,Male,African-American,6,1,M,1,1,1,0,Medium
54,Male,Hispanic,2,1,F,0,0,0,188,Low
58,Male,Hispanic,0,1,F,0,0,0,0,Low
78,Male,Caucasian,1,1,M,1,0,1,0,Low
56,Male,Caucasian,0,1,F,0,0,0,1,Low
24,Male,Other,0,1,F,0,0,0,1,Low
38,Male,African-American,22,34,F,1,0,1,33,High
22,Male,African-American,1,0,F,1,0,1,0,Medium
47,Male,African-American,23,1,M,1,0,1,0,High
23,Male,African-American,0,1,M,1,0,1,1,Low
57,Male,Hispanic,1,0,F,0,0,0,19,Low
38,Female,Caucasian,2,35,F,1,0,1,0,Medium
66,Male,African-American,3,10,F,1,1,0,2,Low
45,Male,Caucasian,8,0,M,1,0,1,71,Low
52,Female,Other,0,1,M,1,0,1,0,Low
32,Male,African-American,13,289,F,1,0,1,97,High
37,Male,African-American,2,0,M,1,1,1,0,High
39,Male,Caucasian,0,0,F,1,0,1,0,Low
26,Male,African-American,9,0,F,1,0,1,79,High
45,Male,Caucasian,2,1,F,0,0,0,358,Low
23,Male,African-American,0,1,F,1,1,1,0,Low
34,Male,African-American,2,0,M,1,0,0,25,Low
23,Female,African-American,1,1,M,0,0,0,0,Low
36,Male,Other,2,1,M,1,0,1,2,Low
50,Male,Caucasian,1,4,F,0,0,0,1,Low
37,Female,Caucasian,0,1,M,0,0,0,0,Low
44,Male,Caucasian,4,0,M,0,0,0,1,Low
35,Female,African-American,23,1,F,1,0,1,2,High
24,Male,Other,5,1,F,1,0,1,0,Medium
26,Male,African-American,2,1,F,1,0,1,1,High
27,Male,African-American,0,1,M,0,0,0,2,Low
28,Female,African-American,0,0,F,0,0,0,29,High
43,Male,Caucasian,11,49,F,1,1,1,121,Medium
28,Female,Caucasian,7,1,F,1,0,1,1,High
38,Male,African-American,2,1,F,0,0,0,1,Low
27,Male,Caucasian,2,36,M,0,0,0,36,Low
28,Female,African-American,1,1,F,0,0,0,38,High
56,Male,Caucasian,7,1,F,1,0,1,0,Low
38,Male,African-American,15,1,F,0,0,0,1,High
28,Male,African-American,2,1,M,0,0,0,0,Medium
45,Male,African-American,3,104,F,0,0,0,218,Medium
28,Male,Hispanic,0,1,M,0,0,0,0,Low
61,Male,Caucasian,1,34,F,0,0,0,0,Low
51,Female,Caucasian,0,1,M,1,1,1,0,Low
51,Male,Caucasian,0,1,M,0,0,0,0,Low
36,Male,Other,1,1,M,1,0,1,1,Low
48,Male,African-American,0,1,F,0,0,0,1,Low
37,Male,Caucasian,4,0,F,1,0,1,1,Low
30,Female,African-American,2,1,F,0,0,0,2,Medium
41,Female,African-American,5,0,M,0,0,0,0,Medium
27,Male,African-American,11,1,F,1,0,1,223,High
37,Male,African-American,0,1,M,1,1,0,1,Low
33,Male,Other,4,0,F,1,0,1,2,Low
54,Male,African-American,11,1,F,0,0,0,129,High
23,Male,African-American,2,1,F,0,0,0,71,High
26,Female,African-American,2,227,F,1,0,1,226,Low
41,Male,African-American,0,0,M,0,0,0,0,Low
52,Male,Caucasian,0,1,F,0,0,0,0,Low
43,Male,Caucasian,13,0,F,1,0,1,51,Low
52,Male,African-American,0,1,F,0,0,0,13,Low
28,Male,Caucasian,1,3,F,0,0,0,3,Low
30,Male,African-American,11,1,M,1,1,1,1,High
28,Male,Caucasian,1,0,F,0,0,0,6,Medium
22,Male,African-American,0,1,F,0,0,0,0,Low
30,Male,African-American,4,0,F,0,0,0,1,Low
25,Male,Hispanic,4,0,F,0,0,0,1,Low
31,Male,Caucasian,0,1,F,1,0,1,30,High
37,Male,Caucasian,0,1,F,1,0,1,35,Low
32,Male,African-American,14,1,F,0,0,0,1,High
26,Male,African-American,4,649,M,0,0,0,75,High
53,Male,Caucasian,1,1,M,0,0,0,1,Low
28,Male,African-American,25,29,F,1,0,1,25,High
44,Male,Caucasian,8,1,M,1,0,1,4,Medium
25,Male,African-American,0,0,F,0,0,0,0,Low
22,Male,Caucasian,1,0,M,1,0,1,5,High
37,Female,Other,0,1,M,0,0,0,1,Low
40,Female,Other,3,1,F,0,0,0,1,Low
36,Male,Caucasian,8,150,F,1,1,1,22,Medium
30,Male,Caucasian,4,140,F,0,0,0,62,Low
22,Male,African-American,3,161,M,1,1,1,0,High
24,Female,Caucasian,1,32,M,1,1,1,29,Medium
27,Male,African-American,3,44,M,1,0,1,6,Low
31,Female,Hispanic,0,1,M,0,0,0,0,Low
23,Male,Hispanic,1,1,F,1,0,1,1,Medium
23,Female,Caucasian,5,1,F,1,0,1,0,Medium
24,Male,Hispanic,0,3,M,0,0,0,0,High
29,Male,African-American,1,1,M,0,0,0,0,Low
20,Male,African-American,1,1,F,1,1,1,1,High
30,Male,African-American,2,1,F,1,0,1,1,Medium
39,Male,Other,0,1,F,0,0,0,0,Low
27,Male,African-American,4,1,F,0,0,0,0,Low
31,Male,Caucasian,2,812,M,1,0,0,10,Low
37,Female,African-American,2,0,F,0,0,0,0,Low
20,Male,African-American,0,1,F,0,0,0,2,High
22,Male,Hispanic,0,0,F,0,0,0,2,Medium
52,Female,African-American,0,1,F,0,0,0,0,Low
23,Female,African-American,0,1,F,1,0,1,3,Low
48,Female,African-American,0,1,F,0,0,0,1,Low
66,Male,African-American,8,1,F,1,0,1,0,Medium
25,Male,Caucasian,0,0,F,0,0,0,0,Medium
27,Male,Caucasian,0,1,F,1,1,1,1,Medium
30,Male,African-American,11,0,F,1,0,1,1,Medium
22,Male,African-American,3,1,M,1,0,1,1,High
22,Female,Caucasian,1,1,F,0,0,0,0,Low
35,Male,African-American,2,1,F,0,0,0,0,High
32,Male,Caucasian,2,232,F,0,0,0,40,Low
41,Female,African-American,2,1,M,0,0,0,0,Low
25,Female,Other,0,1,F,0,0,0,0,Low
44,Male,African-American,24,53,M,0,0,0,117,Medium
52,Male,African-American,3,0,F,1,0,1,24,Medium
43,Male,African-American,0,1,F,0,0,0,41,Low
37,Male,Caucasian,3,4,F,0,0,0,2,Low
28,Male,African-American,3,299,M,1,1,1,2,Low
70,Male,Caucasian,1,13,M,0,0,0,12,Low
54,Male,Caucasian,6,266,F,1,0,1,0,Low
46,Male,Caucasian,3,1,F,0,0,0,14,Low
21,Male,African-American,0,1,M,1,0,1,1,High
26,Male,African-American,1,1,M,1,1,1,1,High
38,Male,Hispanic,3,23,F,1,0,1,1,Low
34,Male,Caucasian,5,1,M,0,0,0,1,Low
19,Male,African-American,1,48,F,1,0,1,48,Medium
34,Male,African-American,5,1,M,0,0,0,0,Low
23,Male,Caucasian,0,0,F,1,0,1,0,Medium
34,Male,African-American,5,1,F,1,0,1,2,Low
30,Male,African-American,2,83,F,0,0,0,83,Low
39,Male,African-American,6,1,F,1,0,1,2,Low
24,Male,Other,0,1,F,0,0,0,1,Low
33,Male,Caucasian,1,93,M,1,1,1,0,Low
58,Male,Caucasian,2,1,F,0,0,0,1,Low
21,Female,African-American,0,0,M,0,0,0,0,Medium
21,Male,African-American,1,36,F,1,0,0,36,Medium
23,Male,African-American,4,11,M,1,0,1,11,High
62,Male,Caucasian,0,0,F,0,0,0,1,Low
27,Male,African-American,4,300,M,1,0,1,0,High
37,Male,Caucasian,5,1,F,0,0,0,10,Low
43,Male,Other,2,1,F,1,0,1,7,Low
32,Female,African-American,5,0,F,0,0,0,1,Low
23,Male,Hispanic,0,1,F,0,0,0,45,Low
27,Male,African-American,0,0,M,0,0,0,0,Low
44,Male,Caucasian,0,1,M,1,0,1,1,Low
28,Male,Caucasian,3,1,M,1,0,1,0,Low
42,Female,Caucasian,0,3,F,0,0,0,1,Low
24,Male,Other,9,1,F,1,1,1,4,High
27,Male,African-American,0,0,F,0,0,0,17,Low
20,Male,African-American,0,1,F,1,0,1,0,High
51,Female,Caucasian,0,0,M,0,0,0,1,Low
56,Male,Caucasian,0,0,M,0,0,0,1,Low
29,Male,African-American,7,1,F,0,0,0,1,High
20,Male,African-American,0,1,F,1,0,1,209,High
53,Male,Caucasian,6,176,F,0,0,0,174,Low
27,Male,Caucasian,8,1,F,0,0,0,68,Medium
24,Male,African-American,2,1,F,1,1,1,19,High
53,Male,Caucasian,36,7,F,1,0,1,32,Medium
28,Male,Caucasian,2,0,M,1,1,1,1,Low
45,Male,African-American,1,1,F,0,0,0,0,Low
21,Male,Hispanic,3,22,F,1,0,0,22,Medium
36,Female,African-American,0,1,F,0,0,0,12,Medium
25,Female,Caucasian,2,2,M,1,0,1,1,Low
23,Female,Hispanic,1,0,M,1,0,0,0,Low
28,Male,Caucasian,1,4,F,0,0,0,1,Medium
21,Female,African-American,0,1,F,1,0,1,1,High
36,Male,Caucasian,0,1,M,0,0,0,0,Low
24,Male,African-American,0,1,F,0,0,0,0,Low
28,Male,African-American,3,206,F,1,0,1,32,Medium
30,Male,Other,1,1,F,1,0,1,0,Low
29,Male,African-American,0,1,F,0,0,0,1,Low
30,Female,Caucasian,0,0,M,0,0,0,3,Medium
51,Male,Hispanic,1,1,M,0,0,0,1,Low
33,Male,Other,3,94,F,0,0,0,3,Low
25,Female,African-American,2,86,F,0,0,0,1,Medium
32,Male,African-American,12,1,F,1,1,1,1,High
23,Male,African-American,1,0,F,0,0,0,1,Medium
47,Male,African-American,3,0,F,0,0,0,0,Low
32,Female,Hispanic,1,80,F,1,0,1,2,Low
37,Male,Caucasian,0,1,F,0,0,0,19,Low
19,Male,African-American,2,1,F,1,0,1,1,High
27,Male,Hispanic,0,1,M,0,0,0,2,High
39,Male,Other,0,1,M,0,0,0,0,Low
21,Female,Caucasian,0,0,F,0,0,0,0,Medium
69,Male,Caucasian,0,1,M,0,0,0,0,Low
21,Male,Caucasian,2,1,F,0,0,0,2,Medium
26,Male,African-American,6,0,M,1,0,1,3,High
22,Male,Caucasian,0,2,F,0,0,0,0,Low
23,Female,African-American,0,1,F,1,0,1,0,Medium
49,Male,African-American,3,0,F,0,0,0,3,Medium
29,Male,African-American,2,1,M,1,0,0,50,Low
60,Female,Caucasian,0,1,M,0,0,0,0,Low
26,Female,African-American,0,1,M,0,0,0,0,High
23,Male,African-American,3,0,F,1,0,1,0,High
34,Male,Hispanic,2,47,M,1,1,1,207,Medium
20,Female,Other,1,21,F,0,0,0,2,Low
36,Male,Hispanic,1,0,F,0,0,0,95,Low
30,Male,Caucasian,0,0,F,0,0,0,1,Low
21,Male,African-American,1,1,F,1,0,0,1,Low
22,Male,Caucasian,2,1,M,1,0,1,0,Medium
57,Male,African-American,18,1,F,0,0,0,0,High
21,Male,African-American,4,1,F,1,0,1,219,High
21,Male,African-American,0,1,F,1,0,1,12,Medium
34,Male,Caucasian,1,0,M,0,0,0,0,Low
50,Female,Caucasian,1,1,M,1,0,1,0,Low
40,Male,Caucasian,0,1,F,1,0,1,8,Medium
25,Male,African-American,7,1,F,1,0,1,127,High
53,Female,Caucasian,1,1,M,0,0,0,0,Low
24,Female,African-American,0,1,F,0,0,0,1,Low
42,Male,African-American,1,12,F,0,0,0,4,Low
28,Male,African-American,1,1,M,0,0,0,1,Low
24,Male,Caucasian,1,36,M,0,0,0,36,Low
26,Male,African-American,6,1,F,1,0,1,1,High
22,Male,African-American,4,1,F,1,1,1,260,High
21,Male,Caucasian,3,8,M,0,0,0,5,Medium
37,Male,African-American,23,1,F,1,0,1,17,High
35,Male,African-American,2,1,F,0,0,0,5,Medium
53,Male,African-American,2,1,F,0,0,0,0,Low
60,Male,African-American,1,1,F,0,0,0,0,Low
29,Male,African-American,7,1,F,1,0,0,1,Low
48,Male,Caucasian,23,1,F,1,1,1,360,High
52,Female,Caucasian,0,0,M,0,0,0,0,Low
27,Male,African-American,12,1,F,1,0,1,31,High
28,Male,African-American,5,0,F,1,0,0,51,High
33,Male,Caucasian,3,0,M,0,0,0,0,Low
28,Female,Hispanic,0,1,F,0,0,0,2,Low
47,Male,Caucasian,5,312,F,1,0,1,291,High
36,Male,African-American,14,1,F,1,0,1,0,Medium
29,Male,African-American,2,1,F,0,0,0,1,Medium
22,Male,African-American,0,0,M,1,0,1,21,High
26,Male,African-American,6,34,F,0,0,0,0,Medium
25,Male,Caucasian,0,0,F,0,0,0,0,Low
68,Male,Caucasian,2,150,F,0,0,0,0,Low
56,Male,African-American,5,1,F,0,0,0,12,Low
27,Male,African-American,9,1,F,1,1,1,52,High
52,Male,Caucasian,4,1,F,1,0,1,7,Low
32,Male,African-American,3,0,F,0,0,0,1,Low
60,Male,Other,4,1,F,0,0,0,1,Low
23,Male,Hispanic,1,5,M,0,0,0,5,Low
39,Female,Caucasian,0,2,M,0,0,0,0,Medium
56,Male,Caucasian,0,1,M,0,0,0,0,Low
22,Female,African-American,0,0,F,0,0,0,0,Medium
27,Female,African-American,1,31,F,1,0,1,0,Low
53,Male,African-American,11,1,F,0,0,0,110,Medium
25,Male,Caucasian,0,0,M,1,0,1,0,Low
21,Male,Hispanic,0,0,M,0,0,0,0,Low
22,Male,Caucasian,0,1,F,0,0,0,1,Low
58,Female,Caucasian,2,23,M,0,0,0,1,Low
31,Male,African-American,7,0,M,1,0,1,1,Low
22,Male,Caucasian,1,1,F,1,0,1,0,Medium
28,Male,African-American,8,1,F,1,0,1,3,Medium
42,Male,Other,1,1,F,0,0,0,2,Low
20,Male,African-American,0,0,F,1,0,1,0,Medium
29,Male,Caucasian,0,0,M,1,1,1,5,Medium
29,Male,African-American,8,178,F,0,0,0,87,High
58,Male,African-American,21,1,M,1,0,1,59,Medium
22,Male,African-American,3,1,F,0,0,0,106,Medium
48,Male,Hispanic,1,0,M,1,0,1,0,Low
37,Male,Caucasian,0,0,F,0,0,0,0,Low
57,Male,African-American,1,1,F,1,0,1,25,Medium
27,Male,Caucasian,3,22,M,0,0,0,1,Low
26,Male,African-American,3,0,F,0,0,0,33,Low
24,Male,Caucasian,3,0,F,1,0,1,0,High
33,Male,Caucasian,0,1,F,0,0,0,1,Low
29,Male,African-American,2,1,F,0,0,0,0,Medium
24,Female,African-American,3,1,F,1,0,1,1,High
19,Male,Caucasian,1,1,F,1,0,1,32,High
36,Male,Caucasian,2,1,M,0,0,0,0,Low
24,Female,Caucasian,0,0,F,0,0,0,0,Medium
34,Male,Caucasian,0,0,M,0,0,0,0,Low
25,Male,Hispanic,2,1,F,1,1,1,0,Medium
20,Male,African-American,1,1,F,1,0,1,1,High
28,Male,Hispanic,2,263,M,1,1,1,1,Medium
24,Male,African-American,1,1,M,1,1,1,1,Low
61,Male,Caucasian,4,1,F,0,0,0,1,Low
50,Female,African-American,3,0,F,0,0,0,1,Low
30,Male,African-American,1,0,M,0,0,0,4,Low
38,Male,African-American,5,1,F,0,0,0,1,Low
24,Male,Caucasian,0,1,M,0,0,0,0,Low
45,Male,African-American,16,83,F,0,0,0,64,Low
46,Female,African-American,2,1,F,1,0,1,9,High
41,Male,Caucasian,0,1,M,1,0,1,3,Low
20,Male,Other,0,1,F,1,1,1,22,High
27,Male,African-American,13,1,M,1,1,1,1,High
51,Female,African-American,16,122,F,0,0,0,66,High
26,Male,African-American,1,1,M,1,0,1,13,Medium
29,Male,African-American,3,0,F,1,0,1,1,Medium
52,Male,Caucasian,6,1,F,1,0,1,1,Medium
28,Male,Caucasian,1,0,F,1,1,1,4,Low
34,Female,Native American,4,152,F,1,0,1,97,Medium
55,Male,African-American,5,1,F,1,0,1,118,Low
26,Male,African-American,10,1,F,1,1,1,0,High
28,Male,African-American,5,1,F,0,0,0,1,High
63,Male,Caucasian,2,3,F,0,0,0,3,Low
42,Male,African-American,0,0,F,0,0,0,1,Low
23,Male,African-American,6,1,F,1,1,0,0,Medium
54,Male,African-American,28,1,F,1,0,1,5,High
35,Male,African-American,8,1,F,1,0,1,10,Medium
24,Female,African-American,6,1,F,1,0,1,26,High
54,Male,African-American,2,26,M,0,0,0,0,Low
58,Male,African-American,12,1,M,1,0,1,3,Medium
23,Male,Caucasian,1,0,M,1,0,1,0,Medium
35,Male,African-American,1,1,M,0,0,0,0,Low
20,Male,African-American,1,0,F,1,1,1,2,High
51,Male,Caucasian,0,0,F,0,0,0,35,Low
24,Male,Hispanic,0,0,F,0,0,0,1,High
37,Male,Caucasian,3,14,F,0,0,0,6,Low
47,Male,Caucasian,3,1,F,0,0,0,0,Low
34,Male,Caucasian,4,1,F,1,0,1,1,Medium
56,Male,Caucasian,0,2,F,0,0,0,0,Low
34,Male,Hispanic,4,1,F,1,0,1,31,Low
59,Male,Caucasian,1,2,F,1,0,1,0,Low
35,Male,Asian,0,1,F,0,0,0,101,Medium
58,Male,Hispanic,1,11,F,0,0,0,10,Low
29,Male,Hispanic,2,26,M,0,0,0,0,Low
24,Female,Caucasian,6,0,F,1,1,1,3,High
21,Male,Caucasian,2,1,M,1,1,1,8,High
26,Male,African-American,2,1,M,0,0,0,0,High
50,Male,Asian,5,0,F,1,0,1,11,Medium
26,Male,African-American,1,1,F,0,0,0,1,Low
30,Female,Caucasian,0,1,M,0,0,0,1,Low
29,Male,Caucasian,6,43,F,1,0,1,18,High
29,Male,Caucasian,0,0,M,1,1,1,1,Low
54,Male,African-American,0,1,M,0,0,0,1,Low
29,Male,African-American,4,1,F,1,1,1,8,Low
59,Female,Caucasian,0,2,M,0,0,0,0,Low
38,Male,African-American,0,0,F,0,0,0,1,Medium
22,Female,Hispanic,2,49,F,1,0,1,18,Medium
29,Male,African-American,4,53,F,1,1,1,25,Medium
27,Male,Caucasian,1,1,M,1,0,1,1,Low
26,Male,Hispanic,7,1,F,1,0,1,1,Medium
52,Male,Hispanic,20,1,F,0,0,0,27,Low
66,Male,African-American,33,0,F,1,0,1,13,Medium
27,Male,Caucasian,2,0,F,0,0,0,0,Medium
51,Male,Caucasian,1,1,M,0,0,0,1,Low
35,Male,Caucasian,1,0,F,0,0,0,74,Low
26,Male,African-American,1,1,F,0,0,0,0,Medium
52,Male,Caucasian,4,1,M,0,0,0,0,Low
35,Female,African-American,12,54,M,0,0,0,1,Low
48,Male,Other,12,0,F,0,0,0,1,Medium
26,Female,African-American,0,1,M,0,0,0,1,Low
48,Female,Caucasian,0,0,M,0,0,0,0,Low
30,Male,Hispanic,7,1,M,0,0,0,37,Low
28,Male,Other,2,1,M,0,0,0,1,Low
33,Male,African-American,2,0,M,0,0,0,0,Low
